#Elist Carrier_QAH Carrier_Axion
3.684210526315787604e-01 5.900124082706170725e-02 1.831201198872811631e-03
3.834586466165412766e-01 6.176894458916848407e-02 2.330324840878361670e-03
3.984962406015037928e-01 6.461625865431308569e-02 2.942487159284468135e-03
4.135338345864658649e-01 6.755667568800483025e-02 3.687029528943064349e-03
4.285714285714283811e-01 7.060502256595313497e-02 4.585119242363155934e-03
4.436090225563908973e-01 7.377738428781555058e-02 5.659611796253294358e-03
4.586466165413529694e-01 7.709098324413155012e-02 6.934844282517005354e-03
4.736842105263154856e-01 8.056401376442146045e-02 8.436359237530055566e-03
4.887218045112780018e-01 8.421543423319555188e-02 1.019056181988808873e-02
5.037593984962405180e-01 8.806472151268884829e-02 1.222431696630010833e-02
5.187969924812030342e-01 9.213159477736176939e-02 1.456449697674067068e-02
5.338345864661651063e-01 9.643571796030236953e-02 1.723749353214820701e-02
5.488721804511276225e-01 1.009963916613987323e-01 2.026871117233852715e-02
5.639097744360901387e-01 1.058322464292356102e-01 2.368206149724372267e-02
5.789473684210522109e-01 1.109609497085948249e-01 2.749947858373769094e-02
5.939849624060147271e-01 1.163989384092491974e-01 3.174047618339148613e-02
6.090225563909772433e-01 1.221611880302244657e-01 3.642176612048508844e-02
6.240601503759397595e-01 1.282610276605975486e-01 4.155695497943323602e-02
6.390977443609022757e-01 1.347100081176648700e-01 4.715633279161135505e-02
6.541353383458643478e-01 1.415178281546705108e-01 5.322676323003427967e-02
6.691729323308268640e-01 1.486923212637396574e-01 5.977168009612476851e-02
6.842105263157893802e-01 1.562395032944028372e-01 6.679118998147082209e-02
6.992481203007514523e-01 1.641636790518212763e-01 7.428227626713557186e-02
7.142857142857139685e-01 1.724676043321746732e-01 8.223909541918228427e-02
7.293233082706764847e-01 1.811526985413465241e-01 9.065335313052802491e-02
7.443609022556390009e-01 1.902193021194431566e-01 9.951474544044014436e-02
7.593984962406015171e-01 1.996669724054527251e-01 1.088114486254054825e-01
7.744360902255635892e-01 2.094948112413401731e-01 1.185306413800972791e-01
7.894736842105261054e-01 2.197018174398497337e-01 1.286590434722727494e-01
8.045112781954886216e-01 2.302872571379008804e-01 1.391834564523239948e-01
8.195488721804506937e-01 2.412510449607871976e-01 1.500912938610090563e-01
8.345864661654132099e-01 2.525941287927313539e-01 1.613710904188412343e-01
8.496240601503757262e-01 2.643188707770356416e-01 1.730129816229570849e-01
8.646616541353382424e-01 2.764294169684937685e-01 1.850091467950045754e-01
8.796992481203007586e-01 2.889320478595678310e-01 1.973542097646934224e-01
8.947368421052628307e-01 3.018355018307623538e-01 2.100455919772885593e-01
9.097744360902253469e-01 3.151512634580146965e-01 2.230838129139041115e-01
9.248120300751878631e-01 3.288938085574262260e-01 2.364727324318938173e-01
9.398496240601499352e-01 3.430807978620507015e-01 2.502197291565737558e-01
9.548872180451124514e-01 3.577332113058329099e-01 2.643358086112836958e-01
9.699248120300749676e-01 3.728754150455326766e-01 2.788356345935509850e-01
9.849624060150374838e-01 3.885351536148569096e-01 2.937374775985848174e-01
1.000000000000000000e+00 4.047434600425638962e-01 3.090630750128191551e-01
1.015037593984962072e+00 4.215344774807654460e-01 3.248373994322992786e-01
1.030075187969924144e+00 4.389451870151699353e-01 3.410883338032704160e-01
1.045112781954887105e+00 4.570150380119084588e-01 3.578462550525651764e-01
1.060150375939849177e+00 4.757854797284259973e-01 3.751435313172679642e-01
1.075187969924812137e+00 4.952993960640199589e-01 3.930139415847957451e-01
1.090225563909774209e+00 5.156004492539700834e-01 4.114920302700832977e-01
1.105263157894736281e+00 5.367323429177801586e-01 4.306124127303485594e-01
1.120300751879699241e+00 5.587380199334699427e-01 4.504090507076607963e-01
1.135338345864661314e+00 5.816588157851647622e-01 4.709145189859276215e-01
1.150375939849624274e+00 6.055335928841039106e-01 4.921592859910814965e-01
1.165413533834586346e+00 6.303978854038714275e-01 5.141710315467626913e-01
1.180451127819548418e+00 6.562830869106459630e-01 5.369740244785621286e-01
1.195488721804511378e+00 6.832157140834311804e-01 5.605885812508697441e-01
1.210526315789473450e+00 7.112167788052605744e-01 5.850306243850740273e-01
1.225563909774435523e+00 7.403012977333620626e-01 6.103113561506834372e-01
1.240601503759398483e+00 7.704779631935299022e-01 6.364370590766226243e-01
1.255639097744360555e+00 8.017489921666047792e-01 6.634090303533861643e-01
1.270676691729322627e+00 8.341101617026751569e-01 6.912236523554753376e-01
1.285714285714285587e+00 8.675510299123825320e-01 7.198725964824852497e-01
1.300751879699247660e+00 9.020553324247657656e-01 7.493431524773068730e-01
1.315789473684210620e+00 9.376015355570448406e-01 7.796186705185306209e-01
1.330827067669172692e+00 9.741635200424401120e-01 8.106790988975625112e-01
1.345864661654134764e+00 1.011711363514715245e+00 8.425015961847268642e-01
1.360902255639097724e+00 1.050212186395254932e+00 8.750611936754388864e-01
1.375939849624059796e+00 1.089631024524605252e+00 9.083314817993599632e-01
1.390977443609022757e+00 1.129931692792091269e+00 9.422852932684175897e-01
1.406015037593984829e+00 1.171077606942185767e+00 9.768953561928679363e-01
1.421052631578946901e+00 1.213032535338168572e+00 1.012134892303905076e+00
1.436090225563909861e+00 1.255761258314519679e+00 1.047978138791092917e+00
1.451127819548871933e+00 1.299230119376373338e+00 1.084400776982235470e+00
1.466165413533834005e+00 1.343407459429606376e+00 1.121380256921312935e+00
1.481203007518796966e+00 1.388263932001610357e+00 1.158896013465763986e+00
1.496240601503759038e+00 1.433772703647905544e+00 1.196929576344809121e+00
